product_id,product_name,img_url,category,currency,price,standardised_price_eur,color,fit,composition,gender,country,region,brand_name,shop,sizes,standard_sizes,min_size,max_size,style label,material quality label,XXS,XS,S,M,L,XL,2XL,3XL,4XL,5XL,6XL
204359251,Armani Exchange print revere shirt in multi,images.asos-media.com/products/armani-exchange-print-revere-shirt-in-multi/204359251-1-multi,shirts,USD,120,111.6,multi,oversized fit, viscose,male,usa,usa,Armani Exchange,Asos,"S, M, L, XL", S/ XL/ L/M,S,XL,special occasion,medium,0,0,1,1,1,1,0,0,0,0,0
202545390,Armani Exchange AX text logo print T-shirt in black,images.asos-media.com/products/armani-exchange-ax-text-logo-print-t-shirt-in-black/202545390-1-black,tshirts,USD,96,89.28,black,regular fit, cotton   spandex,male,usa,usa,Armani Exchange,Asos,"XS, XL",XS/ XL,XS,XL,casual,medium,0,1,0,0,0,1,0,0,0,0,0
204194037,Armani Exchange slim fit jogger jeans in blue,images.asos-media.com/products/armani-exchange-slim-fit-jogger-jeans-in-blue/204194037-1-blue,pants,USD,130,120.9,blue,slim fit, cotton   polyester   viscose   spandex,male,usa,usa,Armani Exchange,Asos,"W28, W30, W32, W34, W36, W38",M/ L/ XS/ XL/ S/2XL,XS,2XL,casual,high,0,1,1,1,1,1,1,0,0,0,0
204194037,Armani Exchange slim fit jogger jeans in blue,images.asos-media.com/products/armani-exchange-slim-fit-jogger-jeans-in-blue/204194037-1-blue,pants,NOK,1419,119.196,blue,slim fit, cotton   polyester   viscose   elastane,male,norway,eu,Armani Exchange,Asos,"W28, W30, W32, W34, W36, W38, W40",M/ L/ XS/ XL/ S/2XL,XS,2XL,casual,high,0,1,1,1,1,1,1,0,0,0,0
204405916,Armani Exchange grid print logo T-shirt in white,images.asos-media.com/products/armani-exchange-grid-print-logo-t-shirt-in-white/204405916-1-white,tshirts,USD,30,27.9,white,regular fit, cotton,male,usa,usa,Armani Exchange,Asos,"XS, S, M, L, XL, 2XL",M/ L/ XS/ XL/ S/2XL,XS,2XL,casual,high,0,1,1,1,1,1,1,0,0,0,0
204193994,Armani Exchange straight fit jeans in blue,images.asos-media.com/products/armani-exchange-straight-fit-jeans-in-blue/204193994-1-blue,jeans,USD,102,94.86,blue,None, cotton,male,usa,usa,Armani Exchange,Asos,"W28, W30, W32, W34, W36, W38",M/ L/ XS/ XL/ S/2XL,XS,2XL,casual,medium,0,1,1,1,1,1,1,0,0,0,0
204359142,Armani Exchange print logo T-shirt in white,images.asos-media.com/products/armani-exchange-print-logo-t-shirt-in-white/204359142-1-white,tshirts,USD,35,32.55,white,regular fit, cotton,male,usa,usa,Armani Exchange,Asos,"XS, S, M, L, XL",L/ M/ XS/ XL/ S,XS,XL,casual,medium,0,1,1,1,1,1,0,0,0,0,0
204709771,Emporio Armani Bodywear large side logo t-shirt in white,images.asos-media.com/products/emporio-armani-bodywear-large-side-logo-t-shirt-in-white/204709771-1-white,tshirts,USD,75,69.75,white,regular fit, cotton   spandex,male,usa,usa,Emporio Armani,Asos,"S, M, L, XL", S/ XL/ L/M,S,XL,basic,medium,0,0,1,1,1,1,0,0,0,0,0
204709771,Emporio Armani Bodywear large side logo t-shirt in white,images.asos-media.com/products/emporio-armani-bodywear-large-side-logo-t-shirt-in-white/204709771-1-white,tshirts,CNY,454.05,59.027,white,regular fit, cotton   elastane,male,china,asia,Emporio Armani,Asos,"S, M, L, XL", S/ XL/ L/M,S,XL,basic,medium,0,0,1,1,1,1,0,0,0,0,0
204405956,Armani Exchange logo t-shirt in navy,images.asos-media.com/products/armani-exchange-logo-t-shirt-in-navy/204405956-1-navy,tshirts,USD,35,32.55,navy,regular fit, cotton,male,usa,usa,Armani Exchange,Asos,"XS, S, M, L, XL",L/ M/ XS/ XL/ S,XS,XL,casual,high,0,1,1,1,1,1,0,0,0,0,0
